artist,startTime,endTime
Rebelution,2018-08-02T17:00:00-06:00,2018-08-02T18:00:00-06:00
KHALID,2018-08-02T19:00:00-06:00,2018-08-02T20:00:00-06:00
Terror Jr,2018-08-02T15:00:00-06:00,2018-08-02T16:00:00-06:00
Cuco,2018-08-02T13:15:00-06:00,2018-08-02T14:00:00-06:00
TRAVIS SCOTT,2018-08-02T20:45:00-06:00,2018-08-02T22:00:00-06:00
Nick Mulvey,2018-08-02T12:30:00-06:00,2018-08-02T13:15:00-06:00
Virgil Abloh,2018-08-02T20:00:00-06:00,2018-08-02T20:45:00-06:00
BILLIE EILISH,2018-08-02T18:00:00-06:00,2018-08-02T19:00:00-06:00
Basement,2018-08-02T14:00:00-06:00,2018-08-02T15:00:00-06:00
All Time Low,2018-08-02T16:00:00-06:00,2018-08-02T17:00:00-06:00
Valee,2018-08-02T12:50:00-06:00,2018-08-02T13:30:00-06:00
G Herbo,2018-08-02T16:00:00-06:00,2018-08-02T16:45:00-06:00
A Boogie Wit Da Hoodie,2018-08-02T19:45:00-06:00,2018-08-02T20:30:00-06:00
DJ Taye,2018-08-02T12:00:00-06:00,2018-08-02T12:30:00-06:00
Jaden Smith,2018-08-02T17:15:00-06:00,2018-08-02T18:00:00-06:00
Tycho,2018-08-02T21:00:00-06:00,2018-08-02T22:00:00-06:00
Curtis Harding,2018-08-02T14:50:00-06:00,2018-08-02T15:30:00-06:00
Petit Biscuit,2018-08-02T18:30:00-06:00,2018-08-02T19:15:00-06:00
Allie X,2018-08-02T13:50:00-06:00,2018-08-02T14:30:00-06:00
Supa Bwe,2018-08-02T17:40:00-06:00,2018-08-02T18:20:00-06:00
Larkin Poe,2018-08-02T13:00:00-06:00,2018-08-02T13:40:00-06:00
GASHI,2018-08-02T16:30:00-06:00,2018-08-02T17:10:00-06:00
Wes Period,2018-08-02T14:10:00-06:00,2018-08-02T14:50:00-06:00
FLETCHER,2018-08-02T15:20:00-06:00,2018-08-02T16:00:00-06:00
Madison Beer,2018-08-02T18:50:00-06:00,2018-08-02T19:30:00-06:00
Galantis,2018-08-02T20:30:00-06:00,2018-08-02T21:45:00-06:00
Space Jesus,2018-08-02T13:00:00-06:00,2018-08-02T14:00:00-06:00
4B,2018-08-02T14:15:00-06:00,2018-08-02T15:15:00-06:00
LZRD,2018-08-02T12:00:00-06:00,2018-08-02T12:45:00-06:00
REZZ,2018-08-02T19:15:00-06:00,2018-08-02T20:15:00-06:00
London On Da Track,2018-08-02T15:30:00-06:00,2018-08-02T16:30:00-06:00
Shiba San,2018-08-02T16:45:00-06:00,2018-08-02T17:45:00-06:00
KAYZO,2018-08-02T18:00:00-06:00,2018-08-02T19:00:00-06:00
School of Rock AllStars,2018-08-02T13:30:00-06:00,2018-08-02T14:00:00-06:00
Mister G,2018-08-02T15:00:00-06:00,2018-08-02T15:30:00-06:00
Lucy Kalantari & the Jazz Cats,2018-08-02T12:00:00-06:00,2018-08-02T12:30:00-06:00
Alphabet Rockers,2018-08-02T17:00:00-06:00,2018-08-02T17:30:00-06:00
Camila Cabello,2018-08-02T19:45:00-06:00,2018-08-02T20:45:00-06:00
Tyler Childers,2018-08-02T13:45:00-06:00,2018-08-02T14:45:00-06:00
LANY,2018-08-02T17:45:00-06:00,2018-08-02T18:45:00-06:00
Jesse Baez,2018-08-02T12:00:00-06:00,2018-08-02T12:45:00-06:00
The Wombats,2018-08-02T15:45:00-06:00,2018-08-02T16:45:00-06:00
Franz Ferdinand,2018-08-02T16:45:00-06:00,2018-08-02T17:45:00-06:00
Arctic Monkeys,2018-08-02T20:45:00-06:00,2018-08-02T22:00:00-06:00
Stars,2018-08-02T14:45:00-06:00,2018-08-02T15:45:00-06:00
Slaves (UK),2018-08-02T12:45:00-06:00,2018-08-02T13:45:00-06:00
CHVRCHES,2018-08-02T18:45:00-06:00,2018-08-02T19:45:00-06:00
The National,2018-08-03T20:30:00-06:00,2018-08-03T22:00:00-06:00
Parquet Courts,2018-08-03T14:45:00-06:00,2018-08-03T15:45:00-06:00
Welshly Arms,2018-08-03T12:45:00-06:00,2018-08-03T13:45:00-06:00
James Bay,2018-08-03T16:45:00-06:00,2018-08-03T17:45:00-06:00
Post Malone,2018-08-03T18:45:00-06:00,2018-08-03T19:45:00-06:00
Oshi,2018-08-03T19:45:00-06:00,2018-08-03T20:30:00-06:00
The Neighbourhood,2018-08-03T17:45:00-06:00,2018-08-03T18:45:00-06:00
Matt Maeson,2018-08-03T12:00:00-06:00,2018-08-03T12:45:00-06:00
Gang Of Youths,2018-08-03T13:45:00-06:00,2018-08-03T14:45:00-06:00
LIZZO,2018-08-03T15:45:00-06:00,2018-08-03T16:45:00-06:00
Two Feet,2018-08-03T14:50:00-06:00,2018-08-03T15:30:00-06:00
